order_id,customer_email,order_amount,quantity,region
1001,alice@example.com,120.50,2,East
1002,bob@example.com,85.00,1,West
1003,carol@example.com,210.75,3,East
1004,dave@example.com,45.25,1,South
1005,erin@example.com,300.00,4,North
1006,frank@example.com,150.00,2,East
1007,grace@example.com,99.99,1,West
1008,heidi@example.com,175.50,2,South
1009,ivan@example.com,60.00,1,North
1010,judy@example.com,220.00,3,East
1011,kate@example.com,130.00,2,West
1012,leo@example.com,90.00,1,South
1013,mona@example.com,250.00,3,North
1014,nina@example.com,110.00,2,East
1015,oscar@example.com,75.00,1,West
1016,paul@example.com,310.00,4,South
1017,quinn@example.com,140.00,2,North
1018,rita@example.com,95.00,1,East
1019,sam@example.com,200.00,3,West
1020,tina@example.com,160.00,2,South
